retailer_code,shopify_sku,product_title,variant_title,notes
RYPSTKMEN,5,Rypstick,Mens - White 45",Dicks Sporting Goods - Men's White 45"
RYPSTKWMN,2,Rypstick,Ladies - Blue 44",Dicks Sporting Goods - Ladies Blue 44"
RYPSTKJNR,3,Rypstick,Juniors - Green 41",Dicks Sporting Goods - Junior Green 41"
RYPSTKORG,4,Rypstick,Indoor - Orange 38",Dicks Sporting Goods - Indoor Orange 38"
RYPSTKOCN,7,Rypstick,Oil Can White 45",Dicks Sporting Goods - Oil Can 45"
BBLADERHXST,40,ButterBlade,Right Hand / X Stiff,Dicks Sporting Goods - BB RH X Stiff
BBLADERHSTF,41,ButterBlade,Right Hand / Stiff,Dicks Sporting Goods - BB RH Stiff
BBLADERHRGR,42,ButterBlade,Right Hand / Regular,Dicks Sporting Goods - BB RH Regular
BBLADERHSNR,43,ButterBlade,Right Hand / Senior,Dicks Sporting Goods - BB RH Senior
BBLADERHLDS,44,ButterBlade,Right Hand / Ladies,Dicks Sporting Goods - BB RH Ladies
BBLADERLHXST,46,ButterBlade,Left Hand / X Stiff,Dicks Sporting Goods - BB LH X Stiff
BBLADELHSTF,47,ButterBlade,Left Hand / Stiff,Dicks Sporting Goods - BB LH Stiff
BBLADELHRGR,48,ButterBlade,Left Hand / Regular,Dicks Sporting Goods - BB LH Regular
BBLADELHSNR,49,ButterBlade,Left Hand / Senior,Dicks Sporting Goods - BB LH Senior
BBLADELHLDS,50,ButterBlade,Left Hand / Ladies,Dicks Sporting Goods - BB LH Ladies
RYPBOARD,26,RypBoard,Default Title,Dicks Sporting Goods - RypBoard
RYPRADAR,12,RypRadar,Default Title,Dicks Sporting Goods - RypRadar
RYPRADAR2,18,RypRadar 2.0,Default Title,Dicks Sporting Goods - RypRadar 2.0
