upc,shopify_sku,product_title,variant_title
363168268171,5,Rypstick,Mens - White 45"
363168268140,2,Rypstick,Ladies - Blue 44"
363168268157,3,Rypstick,Juniors - Green 41"
363168268164,4,Rypstick,Indoor - Orange 38"
363168268201,7,Rypstick,Oil Can White 45"
363168268195,12,RypRadar,Default Title
860006750800,2005,Rypstick Training Pack 2.0,Mens White 45" / RypRadar 2.0
860006750824,2002,Rypstick Training Pack 2.0,Ladies Blue 44" / RypRadar 2.0
860006750831,2003,Rypstick Training Pack 2.0,Junior Green 41" / RypRadar 2.0
860006750848,2004,Rypstick Training Pack 2.0,Indoor Orange 38" / RypRadar 2.0
860006750855,26,RypBoard,Default Title
850063683005,40,ButterBlade,Right Hand / X Stiff
850063683012,41,ButterBlade,Right Hand / Stiff
850063683029,42,ButterBlade,Right Hand / Regular
850063683036,43,ButterBlade,Right Hand / Senior
850063683043,44,ButterBlade,Right Hand / Ladies
850063683050,45,ButterBlade,Right Hand / Junior
850063683067,46,ButterBlade,Left Hand / X Stiff
850063683074,47,ButterBlade,Left Hand / Stiff
850063683081,48,ButterBlade,Left Hand / Regular
850063683098,49,ButterBlade,Left Hand / Senior
850063683104,50,ButterBlade,Left Hand / Ladies
850063683111,51,ButterBlade,Left Hand / Junior
